,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels
41,Laptop MSI Modern 15 (B12MO-628VN) (i5 1235U/16GB RAM/512GB SSD/15.6 inch FHD IPS/Win11/Đen) ,MSI,Intel,i5,16,16,intel,SSD,512,Windows 11,15.6,FHD,39,1,1.7,13699000,1920x1080
42,Laptop MSI Gaming Stealth 16 AI Studio (A1VGG-089VN) (Core Ultra 9 185H/16GB RAM/ 2TB SSD/RTX4070 8GB/18.0 inch UHD+ 120Hz/ Win11/Xanh) (2024),MSI,Intel,i5,32,96,nvidia,SSD,2048,Windows 11,16,QHD,90,1,2.79 ,16299000,2560x1600
43,Laptop Asus Gaming TUF FX507ZC4-HN099W (i7 12700H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 3050 4GB/Win11/Xám),Asus,Intel,i7,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,56,1,2.20 ,21349000,1920x1080
44,Asus Vivobook  14 OLED A1405VA-KM095W (i5 13500H/16GB RAM/512GB SSD/14 2.8K Oled/Win11/Bạc/Chuột),Asus,Intel,i5,16,32,nvidia,SSD,512,Windows 11,14.0,FHD,50,1,1.60 ,18099000,2880x1800
45,Laptop Lenovo Legion 5 15IAH7 (82RC008RVN) (i5 12500H/16GB RAM/512GB SSD/15.6 FHD 165hz/RTX 3050 4GB/Win11/Xám),Lenovo,Intel,i5,8,16,nvidia,SSD,512,Windows 11,15.6,FHD,80,1,2.35 ,25299000,1920x1080
46,Laptop MSI Gaming Katana 15 (B13VEK-252VN) (i7 13620H/8GB/512GB SSD/RTX4050 6GB/15.6FHD 144Hz/Win11/Đen/Balo Essential),MSI,Intel,i7,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,5,1,2.2 ,27340000,1920x1080
47,Laptop Acer Gaming Aspire 5 A515-58GM-59LJ (i5 13420H/8GB RAM/512GB SSD/RTX2050 4G/15.6 inch FHD IPS/Win11/Xám) (2023),Acer,Intel,i5,8,32,nvidia,SSD,512,Windows 11,15.6,FHD,50,1,1.7,16299000,1920x1080
48,Laptop Lenovo Legion Pro 7 16IRX9H (83DE001MVN) (i9 14900HX/32GB RAM/1TB SSD/16 WQXGA 240hz/RTX 4090 16G/Win11/Đen),Lenovo,Intel,i9,16,32,nvidia,SSD,1024,Windows 11,16,FHD,80,1,2.55 ,16299000,2560x1600
49,Laptop Asus Gaming ROG Zephyrus GU605MV-QR196WS (Ultra 9 185H/32GB RAM/1TB SSD/16 QHD 240hz/RTX 4060 8GGB/Win11/Trắng/Túi),Asus,Intel,i5,16,32,nvidia,SSD,1024,Windows 11,16,FHD,90,1,1.85 ,16299000,1920x1080
50,Laptop Dell Mobile Precision Workstation 5680 vPro Enterprise (71024680) (i9-13900H/32GB RAM/1TB SSD/RTX2000 Ada 8GB/16 inch FHD+/Win 11 Pro/Xám) ,Dell,Intel,i9,32,32,nvidia,SSD,1024,Ubuntu,16,FHD,100,1,1.905 ,16299000,1920x1200
51,Laptop Asus Gaming ROG Strix SCAR G834JYR-R6011W (i9 14900HX/64GB RAM/2TB SSD/18 WQXGA 240hz/RTX 4090 16GB/Win11/Đen/Balo),Asus,Intel,i9,32,32,nvidia,SSD,1024,Windows 11,18,QHD,90,1,3.10 ,16299000,2560x1600
52,Laptop Gigabyte G5 (KF5-53VN383SH) (i5 13500H/8GB/512GB SSD/RTX4060 8G/15.6FHD 144Hz/Win 11/Đen) ,Gigabyte,Intel,i5,8,32,nvidia,HDD,512,Windows 11,15.6,FHD,54,1,1.9 ,16299000,1920x1080
53,Laptop Acer Gaming Predator Helios 18 PH18-72-908N (NH.QP4SV.001) (i9 14900HX/32GB RAM/4TB SSD/RTX4090 16G/18 inch 2K 250Hz/Win 11/Đen),Acer,Intel,i9,32,32,nvidia,SSD,4096,Windows 11,18,FHD,90,1,3.25 ,16299000,2560x1600
54,Laptop Gigabyte G5 (KF5-53VN383SH) (i5 13500H/8GB/512GB SSD/RTX 4050 6GB/15.6FHD 144Hz/Win 11/Đen) ,Gigabyte,Intel,i5,8,32,nvidia,HDD,512,Windows 11,15.6,FHD,54,1,1.9 ,16299000,1920x1080
