,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,webcam,weight,price
484,Laptop Dell Vostro 3430 60YGM (Core i5 1335U/ 8GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 14.0inch Full HD/ Windows 11 Home + Office Student/ Titan Grey/ 1 Year),Dell,Intel,i5,8.0,16.0,nvidia,SSD,512,Windows 11,14.0,1,1.49,22990000 
485,Laptop Lenovo ThinkPad E14 GEN 5 21JK006HVA (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ NoOS/ Black/ Aluminium/ 2 Year),Lenovo,Intel,i7,16.0,40.0,intel,SSD,512,NoOS,14.0,1,1.53,25690000 
486,Laptop Lenovo V14 G4 IRU 83A0000GVN (Core i3 1315U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ NoOS/ Black/ Vỏ nhựa/ 2 Year),Lenovo,Intel,i3,8.0,16.0,intel,SSD,256,NoOS,14.0,1,1.41,10490000 
487,Laptop LG Gram 2023 16Z90R-G.AH76A5 (Core i7 1360P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 16.0inch WQXGA/ Windows 11 Home/ Black),LG,Intel,i7,16.0,32.0,intel,SSD,512,Windows 11,16.0,1,1.4,46000000 
488,Laptop Lenovo ThinkPad T14S GEN 4 21F6007TVN (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch 2.2K/ Windows 11 Pro/ Black/ Carbon Fiber/ 3 Year),Lenovo,Intel,i7,16.0,16.0,intel,SSD,512,Windows 11,14.0,1,1.25,38990000 
489,Laptop HP Pavilion x360 14-ek0135TU 7C0W5PA (Core i5 1235U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch FHD TouchScreen/ Windows 11 Home/ Silver/ Hợp kim nhôm/ Pen),HP,Intel,i5,8.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.51,21590000 
490,Laptop Asus Vivobook X1502ZA-BQ126W (Core i5 1240P/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver),Asus,Intel,i5,8.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.4,18490000 
491,Laptop Asus Vivobook A515EA-L11970W (Core i5 1135G7/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),Asus,Intel,i5,8.0,24.0,intel,SSD,512,Windows 11,15.0,1,1.8,17990000 
492,Laptop Asus Vivobook X415EA-EB935W (Core i3 1115G4/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver),Asus,Intel,i3,8.0,32.0,intel,SSD,256,Windows 11,14.0,1,1.6,13990000 
493,Laptop Asus Vivobook X415EA-EK1387W (Core i3 1115G4/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver),Asus,Intel,i3,8.0,32.0,intel,SSD,256,Windows 11,14.0,1,1.6,13990000 
494,Laptop HP Pavilion 15-eg3035TX 8U6L7PA (Core i7 1355U/ 16GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Gold/ Hợp kim nhôm),HP,Intel,i7,16.0,32.0,nvidia,SSD,512,Windows 11,15.0,1,1.69,26590000 
495,Laptop HP Pavilion 15-eg3033TX 8U6L6PA (Core i5 1335U/ 16GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Gold/ Hợp kim nhôm),HP,Intel,i5,16.0,32.0,nvidia,SSD,512,Windows 11,15.0,1,1.69,21090000 
496,Laptop Asus Vivobook 15 X1504ZA-NJ582W (Core i3 1215U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver),Asus,Intel,i3,8.0,24.0,intel,SSD,512,Windows 11,15.0,1,1.4,12990000 
497,Laptop Asus TUF Gaming 15 FX507ZV4-LP041W (Core i7 12700H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 4060 8GB GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Grey),Asus,Intel,i7,8.0,32.0,nvidia,SSD,512,Windows 11,15.0,1,2.2,36490000 
498,Laptop HP ProBook 450 G10 873L0PA (Core i7 1360P/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD Touch screen/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,16.0,64.0,intel,SSD,512,Windows 11,15.0,1,1.74,27690000 
499,Laptop HP ProBook 440 G10 873A9PA (Core i5 1335U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i5,16.0,64.0,intel,SSD,512,Windows 11,14.0,1,1.38,21890000 
500,Laptop HP ProBook 440 G10 873B8PA (Core i7 1355U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,16.0,64.0,intel,SSD,512,Windows 11,14.0,1,1.38,26090000 
501,Laptop MSI Modern 14 C7M-212VN (Ryzen 5 7530U/ 16GB/ 512GB SSD/ AMD Radeon Graphics/ 14.0inch Full HD/ Windows 11 Home/ Black),MSI,AMD,Ryzen 5,16.0,16.0,amd,SSD,512,Windows 11,14.0,1,1.4,12990000 
502,Laptop Asus Zenbook S13 OLED UX5304VA-NQ126W (Core i7 1355U/ 32GB/ 1TB SSD/ Intel Iris Xe Graphics/ 13.3inch 2.8K/ Windows 11 Home/ Grey/ Vỏ nhôm/ Túi Sleeve),Asus,Intel,i7,32.0,32.0,intel,SSD,1024,Windows 11,13.0,1,1.4,49990000 
503,Laptop Asus Vivobook 14 X1404VA-NK125W (Core i5 1335U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver),Asus,Intel,i5,8.0,32.0,intel,SSD,256,Windows 11,14.0,1,1.4,16990000 
504,Laptop HP Gaming Victus 16-d1185TX 7C0S3PA (Core i7 12700H/ 16GB/ 512GB SSD/ Nvidia GeForce RTX 3060 6GB GDDR6/ 16.1inch FHD/ Windows 11 Home/ Blue),HP,Intel,i7,16.0,32.0,nvidia,SSD,512,Windows 11,16.0,1,2.29,37990000 
505,Laptop Asus Vivobook 15X OLED S3504VA-L1226W (Core i5 1340P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch FHD OLED/ Windows 11 Home/ Bạc/ Vỏ nhôm),Asus,Intel,i5,16.0,16.0,intel,SSD,512,Windows 11,15.0,1,1.7,21990000 
506,Laptop HP 240 G9 6L1Y2PA (Core i5 1235U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home),HP,Intel,i5,8.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.5,18590000 
507,Laptop Asus Zenbook UX3402VA-KM068W (Core i7 1360P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch WQXGA/ Windows 11 Home/ Blue/ Vỏ nhôm/ Túi Sleeve/ USB-A to RJ45),Asus,Intel,i7,16.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.4,31990000 
508,Laptop LG Gram 2023 14ZD90R-G.AX51A5 (Core i5 1340P/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 14.0inch WUXGA/ NoOS/ White),LG,Intel,i5,8.0,32.0,intel,SSD,256,NoOS,14.0,1,1.4,25990000 
509,Laptop MSI Modern 15 B13M-297VN (Core i7 1355U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Black/ Vỏ nhựa),MSI,Intel,i7,16.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.7,20490000 
510,Laptop HP ProBook 440 G9 6M0X7PA (Core i7 1255U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch FHD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,8.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.38,24890000 
511,"Laptop HP EliteBook Dragonfly G3 6Z980PA (Core i7 1255U/ 16GB/ 1TB SSD/ Intel Iris Xe Graphics/ 13.5inch WUXGA+, Touch/ Windows 11 Pro/ Blue/ Vỏ nhôm)",HP,Intel,i7,16.0,32.0,intel,SSD,1024,Windows 11,13.0,1,0.99,52590000 
512,Laptop HP 15s fq5163TU 7C135PA (Core i5 1235U/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver),HP,Intel,i5,8.0,32.0,intel,SSD,256,Windows 11,15.0,1,1.69,17690000 
