,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_width,screen_height,screen_revolution,battery,webcam,weight,price,screen_full
27,"Laptop Lenovo ThinkPad E16 Gen 1 (Ryzen 5-7530U, Ram 8GB, 512GB SSD, AMD Radeon Graphics,  16 inch WUXGA,  Win 11, Đen)",Lenovo,AMD,Ryzen 5,8.0,12.0,intel,SSD,512,Windows 11,16.0,1920.0,1200.0,WUXGA,47.0,1,1.97,19990000.0,1920x1200
28,"Laptop Asus Zenbook 14 OLED UM3402YA - WS74T (Ryzen™ 7-7730U, Ram 16GB, SSD 512GB, 14inch 2.8K OLED)",Asus,AMD,Ryzen 7,16.0,24.0,amd,SSD,512,Windows 11,14,2880.0,1800.0,2.8K,75.0,1,1.35,22990000.0,2880x1800
29,MSI Modern 15 B7M 231VN (Ryzen 5-7530U | Ram 16GB | 512GB SSD |  AMD Radeon™ Graphics | 15.6inch FHD | Win 11 | Đen),MSI,AMD,Ryzen 5,16.0,24.0,amd,SSD,512,Windows® 11,15.6,1920.0,1080.0,FHD,39.3,1,1.75,14990000.0,1920 x 1080
30,Laptop Asus Zenbook 14 OLED UX3405MA-PP588W (Intel® Core™ Ultra 5 | 16GB | 512GB | Intel® Arc™ Graphics | 14.0inch 3K OLED | Win 11 | Bạc),Asus,Intel,Ultra 5,16.0,24.0,intel,SSD,512,Windows 11,14.0,2880.0,1800.0,3K,75.0,0,1.2,28990000.0,2880 x 1800
31,"Laptop Asus Zenbook Q415 (Core ™ Ultra 5 125H, Ram 8GB, SSD 512GB, 14.0inch WUXGA OLED, Win 11)",Asus,Intel,Ultra 5,8.0,12.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,WUXGA,75.0,1,1.28,19990000.0,1920 x 1200
32,Laptop Acer Aspire 5 A15-51P-53T8 NX.KSCSV.004 (Core™ i5-120U | 16GB | 512GB | Intel UHD Graphics | 15.6 inch FHD | Win 11 | Xám),Acer,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,50.0,1,1.78,21990000.0,1920x1080
33,Laptop Acer Swift Go AI 2024 Gen 2 SFG14-73-71ZX NX.KSLSV.002 (Intel Core Ultra 7 155H | 16GB | 512GB | Intel Arc | 14 inch 2.8K | Win 11 | Bạc),Acer,Intel,Ultra 7,16.0,24.0,intel,SSD,512,Windows 11,14,2880.0,1800.0,2.8K,65.0,1,1.32,21990000.0,2880 x 1800
34,"Laptop Asus Zenbook 14 Q425MA-U71TB (Core™ Ultra 7 155H, Ram 16GB, SSD 1TB, 14.0inch WUXGA OLED, Win 11, Xám)",Asus,Intel,Ultra 7,16.0,24.0,intel,SSD,1024,Windows 11,14.0,1920.0,1200.0,WUXGA,75.0,1,1.28,25990000.0,1920 x 1200
35,Laptop Acer Swift Go AI 2024 Gen 2 SFG14-73-53X7 NX.KSLSV.001 (Intel Core Ultra 5 125H | 16GB | 512GB | Intel Arc | 14 inch 2.8K | Win 11 | Bạc),Acer,Intel,Ultra 5,16.0,24.0,intel,SSD,512,Windows 11,14,2880.0,1800.0,2.8K,65.0,1,1.32,21990000.0,2880 x 1800
36,Laptop Lenovo V14 G4 IRU 83A0A09KVN (Core™  i5-13420H | 16GB | 512GB | Intel UHD | 14 inch FHD | NoOS | Xám),Lenovo,Intel,i5,16.0,16.0,intel,SSD,512,Windows 11,14,1920.0,1080.0,FHD,38.0,1,1.43,13490000.0,1920x1080
