,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels,screen_width,screen_height
130,Laptop Acer Aspire 5 A515-58M-56YX (NX.KQ8SV.005) (i5-13420H/16GB RAM/512GB SSD/15.6 inch FHD/Win11/Xám),Acer,Intel,i5,16,16,intel,SSD,512,Windows 11,15.6,FHD,50.0,1,1.7,15899000,1920x1080,1920,1080
131,Laptop Acer Aspire 5 A514-56P-55K5 (NX.KHRSV.003) (i5 1335U/16GB RAM/512GB SSD/14.0 inch WUXGA IPS/Win11/Xám) (2023),Acer,Intel,i5,16,16,intel,SSD,512,Windows 11,14,WUXGA,50.0,1,1.7,16299000,1920x1200,1920,1200
132,Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-573X (NX.KHKSV.002) (i5 1335U/16GB RAM/512GB SSD/14.0inch WUXGA IPS/Cảm ứng/ Bút/Win11/ Xám) (2023),Acer,Intel,i5,16,16,intel,SSD,512,Windows 11,14,WUXGA,50.0,1,1.6,20299000,1920x1200,1920,1200
133,Laptop Acer Aspire 5 A515-58P-56RP (NX.KHJSV.008) (i5 1335U/16GB RAM/512GB SSD/15.6 inch FHD/Win11/Xám) (2023),Acer,Intel,i5,16,16,intel,SSD,512,Windows 11,15.6,FHD,50.0,1,1.7,15299000,1920x1080,1920,1080
134,Laptop Acer Swift 3 SF314-512-56QN (NX.K0FSV.002) (i5-1240P/16GB RAM/512GB SSD/14.0 inch QHD IPS/Win11/Bạc/vỏ nhôm) ,Acer,Intel,i5,16,16,intel,SSD,512,Windows 11,14.0,QHD,56.0,1,1.2,18799000,2560x1440,2560,1440
135,Laptop Acer Aspire 3 A314-36M-34AP (NX.KMRSV.001) (i3 N305/8GB RAM/512GB SSD/14.0 inch FHD IPS/Vỏ kim loại/Win 11/Xanh),Acer,Intel,i3,8,16,intel,SSD,512,Windows 11,14.0,FHD,40.0,1,1.7,10699000,1920x1080,1920,1080
136,Laptop HP 15 DY2795WM (6M0Z7UA) (i5 1135G7/8GB RAM/256GB SSD/15.6 FHD/Win11/Bạc)(NK_Bảo hành tại HACOM),HP,Intel,i5,8,16,intel,SSD,512,Windows 10,15.6,FHD,41.0,1,1.69 ,11599000,1366x768,1366,768
137,Laptop Acer Aspire 3 A315-510P-34XZ (NX.KDHSV.006) (i3-N305/8GB RAM/512GB SSD/15.6 inch FHD/Win11/Bạc),Acer,Intel,i3,8,16,intel,SSD,512,Windows 11,15.6,FHD,40.0,1,1.7,9499000,1920x1080,1920,1080
138,Laptop Dell Vostro 15 3530 (80GG93) (i5 1335U 16GB RAM/512GB SSD/15.6FHD 120Hz/Win11/OfficeHS21/Xám) ,Dell,Intel,i5,16,16,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.65,18299000,1920x1080,1920,1080
139,Laptop Lenovo V14 Gen 4 (83A0008WVN) (i5 13420H/16GB RAM/512GB SSD/14 FHD/Dos/Xám),Lenovo,Intel,i5,8,16,intel,SSD,512,No OS,14,FHD,45.0,1,1.69 ,13699000,1920x1080,1920,1080
140,Laptop Lenovo Thinkpad E16 Gen 1 (21JN00FGVA) (i7 13700H/16GB RAM/512GB SSD/16 WUXGA/Dos/Đen),Lenovo,Intel,i7,16,48,intel,SSD,1024,Windows 11,16,WUXGA,41.0,1,1.7,22849000,1920x1200,1920,1200
141,Laptop Lenovo Thinkpad E14 Gen 5 (21JK006BVN) (i5 1335U/16GB RAM/512GB SSD/14.0 WUXGA/Win11/ Đen),Lenovo,Intel,i5,8,16,intel,SSD,512,Windows 11,14,FHD,45.0,1,1.43 ,19799000,1920x1080,1920,1080
142,Laptop Lenovo Thinkpad L13 Gen 3 (21B3005QVA) (i5 1235U/8GB RAM/512GB SSD/13.3 WUXGA/Dos/Đen),Lenovo,Intel,i5,8,8,intel,SSD,512,Dos,13.3,FHD,46.0,1,1.39 ,17299000,1920x1080,1920,1080
143,Laptop Lenovo IdeaPad 3 14AIH8 (83EQ0005VN) (i5 1245H/16GB RAM/512GB SSD/14 FHD/Win11/Xám),Lenovo,Intel,i5,16,16,intel,SSD,512,Windows 11,14,FHD,47.0,1,1.37 ,13299000,1920x1080,1920,1080
144,Asus Vivobook  14 OLED A1405VA-KM095W (i5 13500H/16GB RAM/512GB SSD/14 2.8K Oled/Win11/Bạc/Chuột),Asus,Intel,i5,16,16,intel,SSD,512,Windows 11,14.0,FHD,50.0,1,1.60 ,17799000,2880x1800,2880,1800
145,Laptop Lenovo Thinkpad X13 Gen 3 (21BN008JFQ) (i5 1235U/8GB RAM/512GB SSD/13.3 WUXGA/Dos/Đen),Lenovo,Intel,i5,8,8,intel,SSD,512,Windows 11,13.3,WUXGA,47.0,1,1.29 ,18799000,1920x1200,1920,1200
146,Laptop Dell Inspiron 3530 (71035574) (i7 1355U 16GB RAM/512GB SSD/15.6 inch FHD 120Hz/Win11/OfficeHS21/Bạc),Dell,Intel,i7,16,16,intel,SSD,512,Windows 11,15.6,FHD,54.0,1,1.65,20749000,1920x1080,1920,1080
147,Laptop Dell Inspiron 3530 (N3530-i5U085W11BLU) (i5 1335U 8GB RAM/512GB SSD/15.6 inch FHD 120Hz/Win11/OfficeHS21/Đen),Dell,Intel,i5,8,16,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.65,16299000,1920x1080,1920,1080
148,Laptop Dell Vostro 15 3530 (V5I5267W1) (i5 1335U 8GB/256GB SSD/15.6FHD 120Hz/Win11/OfficeHS21/Xám) ,Dell,Intel,i5,8,16,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.65,15599000,1920x1080,1920,1080
